DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2011,166.294,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2012,168.186,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2013,160.361,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2014,149.527,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2015,148.581,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2016,164.488,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2017,166.810,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2018,159.931,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2019,177.988,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2020,171.797,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EE,2021,191.660,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2010,1558.899,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2011,1515.735,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2012,1638.693,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2013,1500.086,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2014,1474.721,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2015,1507.997,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2016,1719.433,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2017,1687.691,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2018,1441.325,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2019,1494.199,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2020,1503.543,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EL,2021,1523.556,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2010,6507.223,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2011,6544.024,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2012,6456.406,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2013,6110.060,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2014,6079.966,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2015,6024.850,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2016,5988.650,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2017,6138.693,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2018,6449.355,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2019,6275.236,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2020,6296.131,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,ES,2021,6289.682,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2010,62783.982,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2011,60533.451,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2012,61820.486,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2013,61552.224,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2014,58624.374,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2015,59495.362,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2016,60522.207,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2017,60929.842,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2018,60706.994,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2019,60529.720,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2020,61278.787,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,2021,64273.221,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2010,1969.390,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2011,1842.304,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2012,1924.506,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2013,1849.527,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2014,1828.375,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2015,1798.624,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2016,1936.199,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2017,1935.684,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2018,1954.514,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2019,1938.607,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2020,1895.099,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FI,2021,2086.071,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2010,13888.220,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2011,12728.305,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2012,13765.106,
